kpi_nombre,fecha,valor
Beneficiarios directos,2023-10-01,445
Beneficiarios directos,2023-11-01,510
Beneficiarios directos,2023-12-01,620
Beneficiarios directos,2024-01-01,710
Beneficiarios directos,2024-02-01,850
Beneficiarios directos,2024-03-01,960
Beneficiarios directos,2024-04-01,1080
Beneficiarios directos,2024-05-01,1160
Beneficiarios directos,2024-06-01,1247
Voluntarios certificados,2024-06-01,38
Talleres impartidos,2023-10-01,8
Talleres impartidos,2023-11-01,17
Talleres impartidos,2023-12-01,29
Talleres impartidos,2024-01-01,40
Talleres impartidos,2024-02-01,54
Talleres impartidos,2024-03-01,63
Talleres impartidos,2024-04-01,74
Talleres impartidos,2024-05-01,86
Talleres impartidos,2024-06-01,89
Horas de servicio,2024-06-01,2340
